| Schedule ID | Stop Number | Stop Name              | Time Taken to Reach Stop (minutes) |
| 4          | 3           | Palarivattom      | 30                               |
| 4          | 4           | Kakkanad           | 45                               |
| 4          | 5           | Kalamassery        | 60                               |
| 4          | 6           | Edapally           | 75                               |
| 4          | 7           | Aluva              | 90                               |
| 4          | 8           | Perumbavoor        | 105                              |
| 4          | 9           | Muvattupuzha       | 120                              |
| 4          | 10          | Thodupuzha         | 135                              |
| 4          | 11          | Pala               | 150                              |
| 4          | 12          | Ettumanoor         | 165                              |
| 4          | 13          | Kottayam           | 180                              |
| 4          | 14          | Changanassery      | 195                              |
| 4          | 15          | Thiruvalla         | 210                              |
| 4          | 16          | Chengannur         | 225                              |
| 4          | 17          | Kozhencherry       | 240                              |
| 4          | 18          | Pathanamthitta     | 255                              |
| 4          | 19          | Kottarakara        | 270                              |
| 4          | 20          | Kollam (Final Stop)| 285                             |
| 5          | 1           | Kannur        | 0                                |
| 5          | 2           | Payyannur     | 15                               |
| 5          | 3           | Taliparamba   | 30                               |
| 5          | 4           | Nileshwaram   | 45                               |
| 5          | 5           | Kasaragod     | 60    
| 6          | 1           | Thalassery     | 0                                |
| 6          | 2           | Mahe           | 15                               |
| 6          | 3           | Vadakara       | 30                               |
| 6          | 4           | Koyilandy      | 45                               |
| 6          | 5           | Calicut        | 60                               |
| 6          | 6           | Feroke         | 75                               |
| 6          | 7           | Kondotty       | 90                               |
| 6          | 8           | Malappuram     | 105                              |
| 6          | 9           | Perinthalmanna | 120                              |
| 6          | 10          | Mannarkkad     | 135                              |
| 6          | 11          | Palakkad       | 150                              |
| 7          | 1           | Thiruvalla  | 0                                |
| 7          | 2           | Changanacherry | 15                            |
| 7          | 3           | Vaikom      | 30                               |
| 7          | 4           | Ettumanoor  | 45                               |
| 7          | 5           | Kottayam    | 60                               |
| 7          | 6           | Chingavanam | 75                               |
| 7          | 7           | Kottayam   | 90                               |
| 7          | 8           | Chingavanam | 105                              |
| 7          | 9           | Kottayam    | 120                              |
| 7          | 10          | Chingavanam | 135                              |
| 7          | 11          | Kottayam    | 150                              |
| 7          | 12          | Chingavanam | 165                              |
| 7          | 13          | Chengannur  | 180                              |
| 8          | 1           | Kottarakara     | 0                                |
| 8          | 2           | Puthoor         | 15                               |
| 8          | 3           | Adoor           | 30                               |
| 8          | 4           | Konni           | 45                               |
| 8          | 5           | Pathanamthitta  | 60                               |
| 9          | 1           | Kozhencherry | 0                                |
| 9          | 2           | Adoor        | 15                               |
| 9          | 3           | Puthoor      | 30                               |
| 9          | 4           | Kottarakara  | 45                               |
| 10         | 1           | Kollam    | 0                                |
| 10         | 2           | Karunagapally | 15                            |
| 10         | 3           | Kayamkulam | 30                               |
| 10         | 4           | Mavelikkara | 45                             |
| 10         | 5           | Chengannur | 60                               |
| 10         | 6           | Thiruvalla | 75                               |
| 10         | 7           | Changanassery | 90                            |
| 10         | 8           | Kottayam  | 105                              |
| 10         | 9           | Chingavanam | 120                            |
| 10         | 10          | Kottayam  | 135                              |
| 10         | 11          | Chingavanam | 150                            |
| 10         | 12          | Kottayam  | 165                              |
| 10         | 13          | Chingavanam | 180                            |
| 10         | 14          | Alappuzha | 195                               |
